gpca,     p4,     Faulty_GPCA_Prop4-LOR-1-1-LOR-2-3,     false,    0,    MINIMAL_FORALL_UNKNOWN,     1,     633.295,     633.09,     5.631,     627.459,     5,     6,     1.126,     104.576,     p1 = ((((not Occlusion) and Occlusion) => ((not Occlusion) and Occlusion)) or (out_Highest_Level_Alarm <= 0));,     
gpca,     p4,     Faulty_GPCA_Prop4-LOR-1-0-ROR-1-2,     false,    2,    TRUE_FOR_MAX_STEPS,     1,     15.932,     15.796,     4.025,     11.771,     5,     5,     0.805,     2.354,     p1 = (((Occlusion or (not Occlusion)) xor ((not Occlusion) => (not Occlusion))) => (out_Highest_Level_Alarm = 3));,     
gpca,     p4,     Faulty_GPCA_Prop4-LOR-1-1-ROR-1-0,     false,    2,    TRUE_FOR_MAX_STEPS,     1,     19.985,     19.809,     4.62,     15.189,     5,     5,     0.924,     3.037,     p1 = ((((not Occlusion) and System_On) and ((not System_On) and System_On)) => (out_Highest_Level_Alarm <= 3));,     
gpca,     p4,     Faulty_GPCA_Prop4-LOR-1--1-ROR-1-0,     false,    2,    TRUE_FOR_MAX_STEPS,     1,     24.941,     24.821,     3.524,     21.297,     5,     5,     0.704,     4.259,     p1 = (((System_On and (not System_On)) and (Occlusion => Occlusion)) => (out_Highest_Level_Alarm <= 3));,     
gpca,     p4,     Faulty_GPCA_Prop4-LOR-1-3-ROR-2-2,     false,    0,    MINIMAL_FORALL_UNKNOWN,     1,     627.044,     626.784,     5.533,     621.251,     6,     7,     0.922,     88.75,     p1 = (((Occlusion and System_On) => ((not System_On) => (not System_On))) or false);,     
gpca,     p4,     Faulty_GPCA_Prop4-LOR-1-1-ROR-1-0,     false,    2,    TRUE_FOR_MAX_STEPS,     1,     16.942,     16.8,     3.817,     12.983,     5,     5,     0.763,     2.596,     p1 = ((((not Occlusion) and System_On) and ((not System_On) and System_On)) => (out_Highest_Level_Alarm <= 3));,     
gpca,     p4,     Faulty_GPCA_Prop4-LOR-1--1-LOR-2-3,     false,    0,    MINIMAL_FORALL_UNKNOWN,     1,     620.504,     620.327,     3.625,     616.702,     5,     6,     0.725,     102.783,     p1 = ((((not Occlusion) and Occlusion) or (System_On => System_On)) or (out_Highest_Level_Alarm < 253));,     
gpca,     p4,     Faulty_GPCA_Prop4-LOR-1-3-ROR-1-2,     false,    2,    TRUE_FOR_MAX_STEPS,     1,     14.338,     14.198,     3.718,     10.48,     5,     5,     0.743,     2.096,     p1 = ((((not Occlusion) => (not Occlusion)) or ((not Occlusion) or (not System_On))) or (out_Highest_Level_Alarm = 3));,     
gpca,     p4,     Faulty_GPCA_Prop4-LOR-1-0-ROR-1-2,     false,    2,    TRUE_FOR_MAX_STEPS,     1,     20.781,     20.638,     5.222,     15.416,     5,     5,     1.044,     3.083,     p1 = (((Occlusion or (not Occlusion)) xor ((not Occlusion) => (not Occlusion))) => (out_Highest_Level_Alarm = 3));,     
gpca,     p4,     Faulty_GPCA_Prop4-LOR-1-0-ROR-1-3,     false,    2,    TRUE_FOR_MAX_STEPS,     1,     88.22,     88.029,     5.436,     82.593,     5,     5,     1.087,     16.518,     p1 = (((System_On and (not System_On)) and ((not Occlusion) or System_On)) => (out_Highest_Level_Alarm <> 3));,     
gpca,     p4,     Faulty_GPCA_Prop4-LOR-1-1-LOR-2-3,     false,    0,    MINIMAL_FORALL_UNKNOWN,     1,     631.81,     631.602,     5.444,     626.158,     5,     6,     1.088,     104.359,     p1 = ((((not Occlusion) and Occlusion) => ((not Occlusion) and Occlusion)) or (out_Highest_Level_Alarm <= 0));,     
gpca,     p4,     Faulty_GPCA_Prop4-LOR-1--1-ROR-1-0,     false,    2,    TRUE_FOR_MAX_STEPS,     1,     23.288,     23.167,     3.423,     19.744,     5,     5,     0.684,     3.948,     p1 = (((System_On and (not System_On)) and (Occlusion => Occlusion)) => (out_Highest_Level_Alarm <= 3));,     
