                                                                               Step 
variable                                                                          0     1     2 

SIGNALS                                                                       
Air_In_Line                                                                   false false false 
Air_In_Line0                                                                  false false false 
Air_In_Line1                                                                   true  true  true 
Air_In_Line2                                                                  false false false 
Air_In_Line3                                                                   true  true  true 
Air_In_Line4                                                                   true  true  true 
Air_In_Line5                                                                   true  true  true 
Air_In_Line6                                                                   true  true  true 
Air_In_Line7                                                                   true false false 
Air_In_Line8                                                                   true  true  true 
Air_In_Line9                                                                  false false false 
Air_In_Line10                                                                 false false false 
Air_In_Line11                                                                  true false false 
Air_In_Line12                                                                  true false false 
Air_In_Line13                                                                 false false false 
Air_In_Line14                                                                  true  true  true 
Air_In_Line15                                                                  true  true  true 
Air_In_Line16                                                                  true  true  true 
Air_In_Line17                                                                 false false false 
Air_In_Line18                                                                  true false false 
Air_In_Line19                                                                 false false false 
Air_In_Line20                                                                  true  true  true 
Air_In_Line21                                                                 false false false 
Air_In_Line22                                                                  true  true  true 
Air_In_Line23                                                                  true  true  true 
Air_In_Line24                                                                 false false false 
Air_In_Line25                                                                  true false false 
Air_In_Line26                                                                  true  true  true 
Air_In_Line27                                                                 false false false 
Air_In_Line28                                                                  true  true  true 
Air_In_Line29                                                                  true  true  true 
Air_In_Line30                                                                  true  true  true 
Air_In_Line31                                                                 false false false 
Air_In_Line32                                                                 false false false 
Air_In_Line33                                                                 false false false 
Air_In_Line34                                                                  true false false 
Air_In_Line35                                                                  true  true  true 
Air_In_Line36                                                                  true  true  true 
Air_In_Line37                                                                 false false false 
Air_In_Line38                                                                  true  true  true 
Air_In_Line39                                                                 false  true  true 
Air_In_Line40                                                                  true  true  true 
Air_In_Line41                                                                  true  true  true 
Air_In_Line42                                                                  true  true  true 
Air_In_Line43                                                                  true  true  true 
Air_In_Line44                                                                  true  true  true 
Air_In_Line45                                                                  true  true  true 
Air_In_Line46                                                                 false false false 
Air_In_Line47                                                                 false false false 
Air_In_Line48                                                                  true  true  true 
Air_In_Line49                                                                  true  true  true 
Air_In_Line50                                                                  true  true  true 
Air_Pressure                                                                  false false false 
Air_Pressure0                                                                 false false false 
Air_Pressure1                                                                 false false false 
Air_Pressure2                                                                  true  true  true 
Air_Pressure3                                                                  true  true  true 
Air_Pressure4                                                                 false false false 
Air_Pressure5                                                                  true  true  true 
Air_Pressure6                                                                  true  true  true 
Air_Pressure7                                                                  true false false 
Air_Pressure8                                                                 false false false 
Air_Pressure9                                                                  true  true  true 
Air_Pressure10                                                                 true false false 
Air_Pressure11                                                                false false false 
Air_Pressure12                                                                false false false 
Air_Pressure13                                                                 true  true  true 
Air_Pressure14                                                                false false false 
Air_Pressure15                                                                 true  true  true 
Air_Pressure16                                                                 true  true  true 
Air_Pressure17                                                                 true  true  true 
Air_Pressure18                                                                 true  true false 
Air_Pressure19                                                                false false false 
Air_Pressure20                                                                 true  true  true 
Air_Pressure21                                                                false false false 
Air_Pressure22                                                                 true  true  true 
Air_Pressure23                                                                 true  true  true 
Air_Pressure24                                                                 true  true  true 
Air_Pressure25                                                                false  true  true 
Air_Pressure26                                                                 true false false 
Air_Pressure27                                                                false false false 
Air_Pressure28                                                                 true  true  true 
Air_Pressure29                                                                 true  true  true 
Air_Pressure30                                                                false false false 
Air_Pressure31                                                                 true  true  true 
Air_Pressure32                                                                false false false 
Air_Pressure33                                                                false false false 
Air_Pressure34                                                                false false false 
Air_Pressure35                                                                false false false 
Air_Pressure36                                                                 true  true  true 
Air_Pressure37                                                                 true  true  true 
Air_Pressure38                                                                false false false 
Air_Pressure39                                                                false  true  true 
Air_Pressure40                                                                 true  true  true 
Air_Pressure41                                                                 true  true  true 
Air_Pressure42                                                                 true  true  true 
Air_Pressure43                                                                 true  true  true 
Air_Pressure44                                                                false false false 
Air_Pressure45                                                                 true  true  true 
Air_Pressure46                                                                false false false 
Air_Pressure47                                                                false false false 
Air_Pressure48                                                                 true  true  true 
Air_Pressure49                                                                 true  true  true 
Air_Pressure50                                                                 true  true  true 
Audio_Enable_Duration                                                             0     0     0 
Audio_Enable_Duration0                                                            0     0     0 
Audio_Enable_Duration1                                                            0     0     0 
Audio_Enable_Duration2                                                            0     0     0 
Audio_Enable_Duration3                                                            0     0     0 
Audio_Enable_Duration4                                                            0     0     0 
Audio_Enable_Duration5                                                            0     0     0 
Audio_Enable_Duration6                                                            0     0     0 
Audio_Enable_Duration7                                                            0     0     0 
Audio_Enable_Duration8                                                            0     0     0 
Audio_Enable_Duration9                                                            0     0     0 
Audio_Enable_Duration10                                                           0     0     0 
Audio_Enable_Duration11                                                           0     1     1 
Audio_Enable_Duration12                                                           0     0     0 
Audio_Enable_Duration13                                                           0     0     0 
Audio_Enable_Duration14                                                           0     0     0 
Audio_Enable_Duration15                                                           0     0     0 
Audio_Enable_Duration16                                                           0     0     0 
Audio_Enable_Duration17                                                           0     0     0 
Audio_Enable_Duration18                                                           0     0     0 
Audio_Enable_Duration19                                                           0     0     0 
Audio_Enable_Duration20                                                           0     0     0 
Audio_Enable_Duration21                                                           0     0     0 
Audio_Enable_Duration22                                                           0     0     0 
Audio_Enable_Duration23                                                           0     0     0 
Audio_Enable_Duration24                                                           0     0     0 
Audio_Enable_Duration25                                                           0     0     0 
Audio_Enable_Duration26                                                           0     0     0 
Audio_Enable_Duration27                                                           0     0     0 
