infusion,     p2,     Faulty_Prop2-LOR-0-1,     true,    1,    TRUE_FOR_MAX_STEPS,     2,     22.315,     22.007,     7.572,     14.435,     10,     10,     0.757,     1.443,     p1 = ((Current_System_Mode <= 8) and (Current_System_Mode >= 0));,     
infusion,     p2,     Faulty_Prop2-LOR-0-0,     true,    1,    TRUE_FOR_MAX_STEPS,     2,     12.716,     12.528,     4.528,     8.0,     6,     6,     0.754,     1.333,     p1 = ((Current_System_Mode >= 1) xor (not System_On));,     
infusion,     p2,     Faulty_Prop2-LOR-0--1,     true,    1,    TRUE_FOR_MAX_STEPS,     2,     19.979,     19.766,     7.146,     12.62,     9,     9,     0.794,     1.402,     p1 = ((Current_System_Mode <= 8) and (Current_System_Mode >= 0));,     
infusion,     p2,     Faulty_Prop2-LOR-0-0,     true,    1,    TRUE_FOR_MAX_STEPS,     2,     12.469,     12.311,     4.426,     7.885,     6,     6,     0.737,     1.314,     p1 = ((Current_System_Mode >= 1) xor (not System_On));,     
infusion,     p2,     Faulty_Prop2-LOR-0-1,     true,    1,    TRUE_FOR_MAX_STEPS,     2,     22.0,     21.737,     7.563,     14.174,     10,     10,     0.756,     1.417,     p1 = ((Current_System_Mode <= 8) and (Current_System_Mode >= 0));,     
infusion,     p2,     Faulty_Prop2-ROR-0--1,     true,    1,    TRUE_FOR_MAX_STEPS,     2,     22.135,     21.909,     7.553,     14.356,     10,     10,     0.755,     1.435,     p1 = ((Current_System_Mode <= 8) and (Current_System_Mode >= 0));,     
infusion,     p2,     Faulty_Prop2-ROR-0--1,     true,    1,    TRUE_FOR_MAX_STEPS,     2,     23.804,     23.561,     7.566,     15.995,     10,     10,     0.756,     1.599,     p1 = ((Current_System_Mode <= 8) and (Current_System_Mode >= 0));,     
infusion,     p2,     Faulty_Prop2-LOR-0-1,     true,    1,    TRUE_FOR_MAX_STEPS,     2,     23.324,     23.067,     8.101,     14.966,     10,     10,     0.81,     1.496,     p1 = ((Current_System_Mode <= 8) and (Current_System_Mode >= 0));,     
infusion,     p2,     Faulty_Prop2-ROR-0--1,     true,    1,    TRUE_FOR_MAX_STEPS,     2,     22.523,     22.287,     7.064,     15.223,     10,     10,     0.706,     1.522,     p1 = ((Current_System_Mode <= 8) and (Current_System_Mode >= 0));,     
infusion,     p2,     Faulty_Prop2-ROR-0--1,     true,    1,    TRUE_FOR_MAX_STEPS,     2,     20.63,     20.424,     6.658,     13.766,     10,     10,     0.665,     1.376,     p1 = ((Current_System_Mode <= 8) and (Current_System_Mode >= 0));,     
infusion,     p2,     Faulty_Prop2-ROR-0--1,     true,    1,    TRUE_FOR_MAX_STEPS,     2,     21.756,     21.534,     7.451,     14.083,     10,     10,     0.745,     1.408,     p1 = ((Current_System_Mode <= 8) and (Current_System_Mode >= 0));,     
infusion,     p2,     Faulty_Prop2-LOR-0-1,     true,    1,    TRUE_FOR_MAX_STEPS,     2,     21.994,     21.734,     7.479,     14.255,     10,     10,     0.747,     1.425,     p1 = ((Current_System_Mode <= 8) and (Current_System_Mode >= 0));,     
infusion,     p2,     Faulty_Prop2-ROR-0-3,     true,    1,    TRUE_FOR_MAX_STEPS,     2,     21.598,     21.403,     6.857,     14.546,     10,     10,     0.685,     1.454,     p1 = ((Current_System_Mode <= 8) and (Current_System_Mode >= 0));,     
infusion,     p2,     Faulty_Prop2-LOR-0-0,     true,    1,    TRUE_FOR_MAX_STEPS,     2,     12.03,     11.902,     4.322,     7.58,     6,     6,     0.72,     1.263,     p1 = ((Current_System_Mode >= 1) xor (not System_On));,     
